ticker,last_close,ret_1m,ret_3m,ret_6m,ret_12m,momentum_z,vol_12m,maxdd_12m,from_high,quality_z,composite
DELL,567.2899780273438,0.1708771476312565,0.45159631053657967,2.802185284799948,3.6164641304036724,2.838631894829485,0.7908073205976192,-0.3234115299090461,0.0,-0.9357671241806533,1.3288722872254297
VLO,390.4200134277344,0.18233858311597229,0.5333678722009958,0.6699501897759228,1.5154428019285486,1.4891407783090447,0.34519441080170044,-0.1418699296306688,0.0,-0.3264621431962872,0.762899609706912
MPC,395.9299926757813,0.14002615925158368,0.5222350178372701,0.7322089986164451,1.2155497584620263,1.3071224286612322,0.3399757281334076,-0.18328664559678587,-0.008787326617693658,-0.17790083675733592,0.7131131224938049
CRM,247.72000122070312,0.28139867491960957,0.488254765770479,0.24940042997115186,0.029874430081158865,1.1568686504001715,0.578122448377612,-0.4467729192545187,-0.08709420746639707,0.03714710149657241,0.7089800308387318
MU,975.260009765625,0.07019722951058482,-0.020544844633309522,1.4073512027106214,5.9773233258423435,1.8320754879508683,0.9294784867471538,-0.3909541844002312,-0.19624082805203846,-1.089493224407827,0.6634480030073902
PSX,259.4700012207031,0.15633991497093613,0.46461063712265416,0.5092246674773435,1.0328221020978514,1.1276558479105903,0.30395425998539133,-0.17277460615915308,-0.005023382025944545,-0.11512584493496908,0.6305431707723665
HPE,62.09000015258789,0.056131981385783014,0.3305910051461063,1.9042257129943887,1.5934250430384678,1.4334027183724238,0.6205156674828803,-0.2635685598837376,0.0,-0.6719560265633184,0.591259220398127
SNOW,328.989990234375,-0.009841748736348577,0.3685677069332436,0.856078929389986,0.45667470154322887,0.5348073281959924,0.5004746999804269,-0.5630006703868291,-0.07708926667664884,0.6235666397672227,0.5703110528244846
OKTA,166.5,0.13034620876074077,0.4170212765957446,1.1089297838624819,0.8456934008400707,1.2177378827121446,0.7004178566348587,-0.37754697077187216,-0.03779469220920806,-0.5167391064941307,0.5239470870296344
AMD,516.1300048828125,0.06874704969778156,0.056669038763477175,1.6101445865523414,2.2351136179198674,1.114203399842131,0.7035726508524434,-0.2776075108828485,-0.11151464298513847,-0.8498273829870233,0.3285910867104692
NOW,132.52999877929688,0.060749129098585986,0.28570039217218834,0.17314328890180763,-0.2825124487657056,0.1296700661564891,0.6009827263163732,-0.5943224558510063,-0.35223560926681574,0.4548763720131714,0.25975258849916205
INTC,102.94000244140624,0.019712784084424673,-0.11987001327642521,1.2749171810255522,3.1558336915226706,0.8000498253462766,0.7673350694977262,-0.41904359418853865,-0.2696182726107016,-0.5620038859135295,0.25522834084235413
COP,137.35000610351562,0.08614379537655514,0.19856197116925167,0.15827086699849935,0.5021222591484094,0.2678000770950893,0.2921451033882158,-0.22281685902311965,0.0,0.079182961064094,0.19235323068269117
CVX,214.05999755859372,0.0983119191269457,0.16202844123701854,0.1062895957896659,0.41007032844163205,0.20627898858028534,0.24845161467273738,-0.20810996389650538,0.0,0.1489751938171025,0.1833574706750122
COIN,175.25999450683594,0.17592594204137502,0.09243908563297865,-0.09299799005347709,-0.4442189492542432,0.03440648976174884,0.7029382991766504,-0.6638953815137105,-0.5824956048013605,0.4065298642649706,0.18325583956303756
INTU,321.57000732421875,-0.03925781860809163,0.16642398467085173,-0.25541190208260833,-0.5044912333765397,-0.5748083729141421,0.44906238995675696,-0.6819406517170054,-0.5972423123595612,1.1482075136762417,0.11439798172201149
DE,675.739990234375,0.09030764467351404,0.19142423491086147,0.15984661684287693,0.4515849425053613,0.2583996670417038,0.3382817376045156,-0.19898026819513415,-0.03240403373718137,-0.12237068364551743,0.10609152676681531
MSFT,495.6300048828125,0.008393153523299723,0.2721294926115181,0.2383381805824003,-0.001323242688021864,0.058462414507146426,0.4141379077535277,-0.34498397568158834,-0.07814879190681956,0.14774940046978158,0.09417720889220049
XOM,165.99000549316406,0.04578917885284017,0.13959620640266968,0.09554330063014538,0.5182297332848578,0.04518738383244715,0.25387218575145765,-0.20112264413803926,-0.019077646396853387,0.1116962588725417,0.07179093384848498
QCOM,181.97000122070312,0.12197440481124144,-0.09853976665383901,0.40019934101696797,0.16866626991130618,-0.007292959004948363,0.48473906716018683,-0.40978731642585986,-0.26844022803177214,0.16827222160721747,0.06293311323991797
V,370.4500122070313,0.030688326657454246,0.16326038950311106,0.21340172044683214,0.10437924926375675,-0.012581992283366289,0.20294736417578918,-0.17180513781287055,-0.035638053624627464,0.15349000142177077,0.053846805198688535
SMCI,40.09999847412109,0.06620573845681332,0.2543008863115783,0.29773459447144157,-0.08676842146506114,0.20741109605777114,0.918387373535604,-0.6618349366456124,-0.3394828021933348,-0.17984006260312602,0.052510632593412265
AAPL,332.2699890136719,0.0993217171668217,0.1249080469840651,0.30146598397561886,0.4705118944844644,0.26280533145511614,0.321022627198406,-0.13798523953754416,-0.02212250288257611,-0.27404396805831105,0.04806561164974524
MRK,143.92999267578125,0.08283173832760582,0.20043908961509538,0.2599322254858354,0.7701038922654331,0.37305359260982135,0.36043838342447093,-0.11365485575233647,-0.08002559614368598,-0.45911854178042977,0.0401847388537209
MA,569.1900024414062,0.016901045687661487,0.1719062955910109,0.14842635225607026,-0.011465823596598423,-0.09871349035149209,0.21632728567397314,-0.20913858967486376,-0.051128569431383775,0.23874842361790277,0.03627127523626587
BAC,62.68999862670898,-0.027775802490754842,0.14231052777256825,0.34388349601896206,0.27720510294274336,-0.10794894598478276,0.1767340994675016,-0.1793167367144004,-0.027775802490754842,0.24841567199409326,0.03459690120676766
META,648.030029296875,0.11951292498701482,0.14109155182748023,0.017245897247790465,-0.13541058641428405,0.06456014345037167,0.46663171134775155,-0.33296881593442285,-0.1770202733477425,-0.03251293542455265,0.025730911900401943
