rank,date,ticker,last_price,ret_1m,ret_3m,ret_6m,ret_12m,vol_ann,max_drawdown,from_52w_high,momentum_score,quality_score,composite_score
1,2026-09-11,MET,97.13999938964844,0.00496581532540552,0.1160288995868557,0.431760338692623,0.25269849724281745,0.22640097492406316,-0.06493244684269772,-0.02811403346064001,0.8724489795918368,0.9642857142857143,0.9091836734693877
2,2026-09-11,BAC,62.689998626708984,-0.02777580249075473,0.14231052777256847,0.34388349601896206,0.2031046973449826,0.1925781675850878,-0.08376284371621157,-0.02777580249075473,0.8163265306122449,0.9948979591836735,0.8877551020408163
3,2026-09-11,PSX,259.4700012207031,0.15633991497093613,0.46461063712265416,0.5092246674773435,0.4626932271715678,0.32218201908776456,-0.1727746061591533,-0.005023382025944545,0.9081632653061225,0.8010204081632653,0.8653061224489795
4,2026-09-11,PRU,119.23999786376953,-0.017300241552986373,0.13244350906359115,0.32402518600410457,0.21760870040095792,0.2173621657249833,-0.08177389779463617,-0.036069947078604,0.7959183673469388,0.9693877551020408,0.8653061224489795
5,2026-09-11,JPM,356.2300109863281,-0.02450841193098774,0.14145526306448297,0.27139907164448673,0.1795008290833333,0.20775941583715848,-0.06716299769499579,-0.02450841193098774,0.7602040816326531,0.9897959183673469,0.8520408163265306
6,2026-09-11,AAPL,332.2699890136719,0.0993217171668217,0.1249080469840651,0.30146598397561886,0.10999919880170927,0.27799180654248196,-0.12706222175450266,-0.02212250288257611,0.8112244897959183,0.8928571428571429,0.8438775510204082
7,2026-09-11,ELV,418.7200012207031,0.0536213880438241,0.05351589359200126,0.46671874067975305,0.21818348543682586,0.3275607430629297,-0.126385324115877,-0.014638424831029173,0.8928571428571429,0.7653061224489796,0.8418367346938775
8,2026-09-11,MPC,395.92999267578125,0.14002615925158346,0.5222350178372699,0.732208882978006,0.7231732360518184,0.3557753650456692,-0.15172085521954826,-0.008787326617693658,0.923469387755102,0.7142857142857143,0.8397959183673469
9,2026-09-11,MS,214.3800048828125,-0.014978838981705045,0.01363730121963802,0.40389033362061433,0.24950296648598957,0.2760367836474698,-0.11122293639883807,-0.05683610502587466,0.8520408163265306,0.7908163265306123,0.8275510204081633
10,2026-09-11,VLO,390.4200134277344,0.18233858311597229,0.5333678722009958,0.6699501897759226,0.6961593551311569,0.3714960625469858,-0.12059614478963954,0.0,0.9183673469387755,0.6887755102040817,0.8265306122448979
11,2026-09-11,ET,21.549999237060547,0.028639544261138683,0.16793188073795173,0.20089414399668049,0.1791058713719309,0.16766860214167634,-0.08043158760818148,-0.008283493279690024,0.7040816326530612,1.0,0.8224489795918368
12,2026-09-11,V,370.45001220703125,0.030688326657454246,0.16326038950311084,0.21340159915554024,0.1143480429876349,0.22787901532565583,-0.06513873636088574,-0.035638053624627575,0.7244897959183674,0.9540816326530612,0.8163265306122449
13,2026-09-11,TRV,375.20001220703125,0.017081298476498308,0.2388378624349372,0.25180206982977316,0.2470311556303597,0.23774076638178535,-0.08811237092531976,-0.05220573871505729,0.75,0.9132653061224489,0.8153061224489795
14,2026-09-11,C,138.82000732421875,0.009012977734124128,0.010543849546984507,0.3287755075065153,0.193414372229457,0.2811461543530901,-0.12727396385283019,-0.042178857204161146,0.8061224489795918,0.826530612244898,0.8142857142857143
15,2026-09-11,SAN,14.960000038146973,0.009446717017925987,0.19108276579209815,0.3780203139596232,0.2105359438018426,0.33902383136480196,-0.09220485393564315,-0.005980076508125043,0.8469387755102041,0.7551020408163265,0.810204081632653
16,2026-09-11,CSX,48.95000076293945,-0.019888056594968173,0.03618339000791271,0.2553408941052353,0.2205935348098762,0.2333962458499177,-0.08881425605330451,-0.07788828103593393,0.7448979591836735,0.8571428571428571,0.789795918367347
17,2026-09-11,WFC,90.29000091552734,0.015292933832053546,0.10204336100898814,0.21365503189583634,0.0019392001077178644,0.25305335033378584,-0.1477406474674684,-0.04786396975174689,0.7193877551020408,0.8877551020408163,0.786734693877551
18,2026-09-11,KO,88.29000091552734,0.01822167971095756,0.07669971473709469,0.1528285891323362,0.12709147545589006,0.20725964975452393,-0.0622558534022325,-0.040221730994293714,0.6224489795918368,0.9795918367346939,0.7653061224489797
19,2026-09-11,MDLZ,62.439998626708984,0.00418138179892491,-0.00625976770128156,0.16851001876524063,0.05119846603618772,0.24098025768772335,-0.09123051513109526,-0.03923679521279244,0.6479591836734694,0.9336734693877551,0.7622448979591837
20,2026-09-11,TGT,155.8300018310547,0.011883128773082285,0.18385165586620356,0.369413942364327,0.3801950365403193,0.31295432778145926,-0.10694048053199778,-0.08275941850083046,0.8418367346938775,0.6377551020408163,0.760204081632653
21,2026-09-11,OKE,96.62000274658203,0.044879436261429984,0.09609903597602254,0.1650027004245338,0.11740824445531772,0.28183655120047796,-0.11864756171426427,-0.009127262538719094,0.6581632653061225,0.9081632653061225,0.7581632653061225
22,2026-09-11,ALL,253.7100067138672,-0.004198239253701774,0.16029469438454713,0.2491246171502992,0.285484314543482,0.26161654196651746,-0.08233143103581664,-0.07394885691813513,0.7397959183673469,0.7857142857142857,0.7581632653061224
23,2026-09-11,COP,137.35000610351562,0.08614379537655514,0.19856197116925167,0.15827086699849935,0.13678284565028576,0.30767878728228165,-0.22281694890868553,0.0,0.673469387755102,0.8775510204081632,0.7551020408163265
24,2026-09-11,CVX,214.05999755859375,0.0983119191269457,0.16202844123701876,0.1062895957896659,0.0841806801795919,0.255328765331846,-0.2081099638965056,0.0,0.6020408163265306,0.9591836734693877,0.7448979591836735
25,2026-09-11,UNH,379.0899963378906,-0.06533691718057877,-0.05990588630965099,0.37612401180571053,0.4501428750924472,0.2942342874996628,-0.13122495465725093,-0.13122495465725093,0.8367346938775511,0.6071428571428571,0.7448979591836735
26,2026-09-11,HPE,62.09000015258789,0.056131981385783014,0.33059100514610607,1.9042257129943883,1.5359877552904928,0.6757566253991992,-0.2635685598837375,0.0,0.9948979591836735,0.35714285714285715,0.739795918367347
27,2026-09-11,MA,569.1900024414062,0.016901045687661487,0.1719062955910109,0.14842642296904818,0.058621271576210665,0.2305099464244069,-0.1022028719234983,-0.051128569431383775,0.6122448979591837,0.9285714285714286,0.7387755102040816
28,2026-09-11,TMO,609.8200073242188,0.011293340820728082,0.28333540344508545,0.28398321604846166,0.13260816553909271,0.3297787486536307,-0.17554122781958226,-0.04443702281224193,0.7755102040816326,0.6836734693877551,0.7387755102040816
29,2026-09-11,ABBV,257.1199951171875,0.033606692374009706,0.1520671705129717,0.1585323822027056,0.15306697658783852,0.2747060539397518,-0.10129823313479769,-0.033274452242348374,0.6428571428571429,0.8724489795918368,0.7346938775510204
30,2026-09-11,SCHW,107.25,-0.016254386100575724,0.21265776551521398,0.1831292461126668,0.16110970832123828,0.26004858114203966,-0.14574380958347222,-0.056313255080965186,0.6530612244897959,0.8469387755102041,0.7306122448979593
31,2026-09-11,FTNT,156.07000732421875,-0.029656734159898557,0.07589969633894245,0.8491706694621828,0.883853370716382,0.5003153357846432,-0.10556780658658993,-0.09671253370260113,0.9285714285714286,0.40816326530612246,0.7204081632653061
32,2026-09-11,JNJ,265.5799865722656,0.023115224957144465,0.1198330517405779,0.10900977212893448,0.1001763229759034,0.22009401729110928,-0.09458356285710523,-0.04615165909399299,0.5714285714285714,0.9438775510204082,0.7204081632653061
