rank,ticker,close,ret_1m,ret_3m,ret_6m,mom_12_1,vol_6m,beta,score
72,UPS,100.28,-0.0195,-0.0575,0.0657,0.2922,0.3119,0.804,-0.031
73,AMZN,256.78,-0.0393,0.0764,0.2365,0.1715,0.3745,1.427,-0.034
74,BLK,1079.65,-0.0652,0.0515,0.1809,0.0501,0.2743,1.168,-0.04
75,DIS,106.55,0.0323,0.0732,0.0813,-0.097,0.2657,0.653,-0.041
76,ETN,425.37,-0.0752,0.0895,0.2031,0.2711,0.4442,1.758,-0.043
77,GOOGL,338.5,-0.014,-0.0583,0.1212,0.4295,0.3594,1.371,-0.043
78,AXP,324.69,-0.0564,0.0004,0.0888,0.069,0.2373,0.958,-0.049
79,ADBE,252.23,-0.0252,0.2363,0.0117,-0.2594,0.4771,0.368,-0.05
80,GS,1029.18,-0.0029,-0.0268,0.328,0.3492,0.3344,1.567,-0.051
81,UNH,379.09,-0.0653,-0.0667,0.3515,0.1814,0.2942,0.416,-0.061
82,COST,904.77,-0.0472,-0.0775,-0.1001,-0.0132,0.2029,-0.147,-0.068
83,GE,323.66,-0.1141,-0.0335,0.0813,0.3035,0.3599,1.245,-0.077
84,SRE,83.34,-0.03,-0.0905,-0.1113,0.0532,0.2189,0.096,-0.083
85,NOC,518.97,-0.097,-0.0527,-0.2863,0.0141,0.2718,0.084,-0.096
86,WMT,107.15,-0.0742,-0.1126,-0.1477,0.1277,0.2761,-0.065,-0.096
87,TTWO,215.47,-0.1133,0.0176,0.033,-0.0132,0.3359,0.677,-0.129
88,PLTR,167.23,-0.0223,0.3066,0.1079,-0.0023,0.6941,1.996,-0.136
89,CMCSA,25.2,-0.0106,0.0426,-0.1432,-0.1381,0.3715,0.135,-0.144
90,TXN,268.7,-0.0285,-0.1031,0.4228,0.554,0.4994,1.459,-0.154
91,SPGI,410.71,0.0037,0.0386,0.0322,-0.1982,0.3036,0.331,-0.156
92,MCD,252.53,-0.0775,-0.107,-0.2157,-0.0806,0.205,-0.033,-0.172
93,SE,106.24,-0.1707,0.2809,0.2353,-0.3465,0.5168,1.298,-0.179
94,F,13.97,0.0101,-0.0484,0.2253,0.2393,0.4301,1.166,-0.192
95,SHOP,128.79,-0.1437,0.1899,0.0474,0.049,0.626,1.906,-0.21
96,HON,202.36,-0.1376,-0.1216,-0.1702,0.1445,0.3081,0.739,-0.215
97,CEG,284.75,0.0234,0.1238,-0.0535,-0.135,0.448,1.337,-0.22
98,NOW,132.53,0.0607,0.2974,0.1664,-0.3275,0.6925,0.701,-0.221
99,BA,210.45,-0.0897,-0.0393,0.0027,0.0707,0.3563,1.229,-0.237
100,ADSK,212.4,-0.1487,0.0704,-0.1544,-0.218,0.4334,0.508,-0.25
101,META,648.03,0.1195,0.144,0.0578,-0.2314,0.4467,1.386,-0.258
102,TMUS,182.33,0.0353,-0.0302,-0.1519,-0.256,0.3446,-0.31,-0.26
103,HD,308.74,-0.0944,-0.0529,-0.0758,-0.1706,0.2775,0.701,-0.294
104,UBER,71.67,-0.049,0.041,-0.0226,-0.2141,0.3867,0.911,-0.298
105,KLAC,180.64,-0.1316,-0.2895,0.2764,1.1694,0.6903,2.816,-0.332
106,PCG,13.8,-0.206,-0.1835,-0.2348,0.1368,0.4234,0.138,-0.342
107,LOW,196.82,-0.0887,-0.103,-0.1625,-0.1892,0.2957,0.629,-0.389
108,AVGO,361.99,-0.1299,-0.0511,0.1278,0.1646,0.4805,2.14,-0.398
109,NFLX,77.4,0.043,-0.0366,-0.1879,-0.3756,0.3452,0.298,-0.418
110,BABA,109.3,-0.1271,-0.0312,-0.1842,-0.185,0.432,1.25,-0.462
111,ISRG,369.15,-0.08,-0.102,-0.2182,-0.1077,0.4091,0.947,-0.463
112,PDD,77.81,-0.1261,-0.046,-0.242,-0.2902,0.3745,0.978,-0.476
113,RIVN,16.03,0.0063,-0.0436,0.0787,0.1835,0.6455,2.031,-0.499
114,VST,148.38,0.0116,0.0038,-0.0639,-0.2969,0.4639,1.483,-0.538
115,HOOD,112.57,0.1861,0.208,0.5339,-0.1749,0.7352,3.143,-0.547
116,NKE,36.8,-0.0819,-0.1723,-0.3049,-0.4328,0.3777,0.701,-0.732
117,TSLA,365.44,0.1158,-0.1009,-0.0658,-0.1728,0.5065,2.239,-0.732
118,QCOM,181.97,0.122,-0.1358,0.4145,0.0231,0.6519,2.04,-0.751
119,BIDU,91.4,-0.1282,-0.2105,-0.2633,-0.0866,0.4958,1.743,-0.773
120,LI,11.81,-0.0529,-0.1741,-0.3185,-0.4906,0.4084,0.729,-0.803
121,COIN,175.26,0.1759,0.0969,-0.1037,-0.5386,0.6879,2.921,-0.909
122,STLA,5.4,0.0093,-0.214,-0.1692,-0.426,0.4401,1.353,-0.916
123,TME,7.98,-0.0567,-0.1345,-0.4226,-0.6525,0.5352,0.927,-0.98
124,NIO,3.69,-0.1872,-0.2917,-0.3703,-0.2701,0.5097,1.309,-0.981
125,XPEV,10.54,-0.103,-0.2726,-0.4722,-0.437,0.4603,1.539,-1.049
126,ORCL,150.28,-0.0196,-0.181,-0.0244,-0.4694,0.6092,2.054,-1.115
127,LCID,4.22,-0.3547,-0.1885,-0.5737,-0.6607,0.9765,2.274,-1.586
128,POM,0.73,-0.2513,-0.6024,-0.8976,-0.9866,2.3357,0.887,-3.403
